iter	Logloss
0	0.6884501881
1	0.6843048361
2	0.6801444514
3	0.6761940215
4	0.6718611555
5	0.6676366485
6	0.6637279775
7	0.6599067817
8	0.6554404935
9	0.6521456849
10	0.6493063616
11	0.6455498913
12	0.6416979295
13	0.6370943454
14	0.633019276
15	0.6293778334
16	0.6254548031
17	0.6213882207
18	0.6180247565
19	0.6142982232
20	0.6115336628
21	0.6085893916
22	0.6057114229
23	0.6026797269
24	0.5994377998
25	0.5961709774
26	0.5927246143
27	0.5896566342
28	0.5864465548
29	0.583878229
30	0.5806988926
31	0.5784377597
32	0.5765619468
33	0.5736927295
34	0.5714334299
35	0.5697700787
36	0.5667776969
37	0.5640565629
38	0.5613505977
39	0.5584996428
40	0.5566794539
41	0.5542085767
42	0.5519279702
43	0.5497770147
44	0.5474282409
45	0.545229169
46	0.5432351641
47	0.5405930792
48	0.5378895609
49	0.5353779888
50	0.5331847121
51	0.5309957624
52	0.5291983367
53	0.527110783
54	0.5257678699
55	0.5236930299
56	0.5217043278
57	0.5195247228
58	0.5182856285
59	0.5166368625
60	0.5146883906
61	0.5130439649
62	0.5109671227
63	0.5091632476
64	0.5073648339
65	0.5054943855
66	0.5040424807
67	0.5027222457
68	0.5015304544
69	0.5001702428
70	0.4985572135
71	0.4973949167
72	0.4957258663
73	0.4943167635
74	0.4926461831
75	0.4908934493
76	0.4892903995
77	0.4880067496
78	0.4862944735
79	0.4845044969
80	0.4836038675
81	0.4822956875
82	0.4808027894
83	0.479780389
84	0.4787033172
85	0.4771829244
86	0.4757545779
87	0.4742716683
88	0.4728607125
89	0.4713976531
90	0.4705080769
91	0.469303488
92	0.4679478094
93	0.4666897392
94	0.4655680425
95	0.4645908674
96	0.4634298632
97	0.462620831
98	0.4615499575
99	0.4606596378
100	0.4598342664
101	0.4589945775
102	0.4580661406
103	0.4568759229
104	0.4559962759
105	0.4545518144
106	0.4534019184
107	0.4520138856
108	0.4512749152
109	0.450312306
110	0.4494716551
111	0.4483365126
112	0.4472146143
113	0.446171648
114	0.445119643
115	0.4445983852
116	0.4436076142
117	0.4425698198
118	0.44188402
119	0.4412421304
120	0.4405718161
121	0.4396726002
122	0.4387423244
123	0.4380365207
124	0.4369336515
125	0.4360661048
126	0.4352334085
127	0.4341494582
128	0.4332004785
129	0.432380954
130	0.4313657168
131	0.430782123
132	0.4296836451
133	0.4287822944
134	0.4280199761
135	0.4273549245
136	0.4266012324
137	0.426035912
138	0.425123641
139	0.4244355086
140	0.4238691974
141	0.4232703234
142	0.4225457915
143	0.4218014827
144	0.4214740912
145	0.4206829832
146	0.4197728318
147	0.4192375845
148	0.4184223362
149	0.4176804611
150	0.4170931004
151	0.4163724185
152	0.4157554231
153	0.414987931
154	0.414402193
155	0.4135999404
156	0.4132140405
157	0.4127366838
158	0.4121954352
159	0.4116972182
160	0.4110514809
161	0.4103757561
162	0.4096452398
163	0.408996937
164	0.4082965321
165	0.4078453788
166	0.4073748173
167	0.40656759
168	0.4060555254
169	0.4054640935
170	0.4048318849
171	0.4040488374
172	0.4035619642
173	0.4028234093
174	0.402263382
175	0.4014398431
176	0.4009508686
177	0.4003731574
178	0.4000269385
179	0.3995588615
180	0.3992420454
181	0.3986845075
182	0.3980892872
183	0.3977262443
184	0.3972828466
185	0.3971070295
186	0.3970443901
187	0.3965315266
188	0.3960526121
189	0.3955290938
190	0.3949933555
191	0.3943266611
192	0.3937559451
193	0.3933842611
194	0.3929216208
195	0.3921599689
196	0.3919258985
197	0.3913216936
198	0.3906738471
199	0.3902605299
200	0.3896877628
201	0.389278557
202	0.3887960114
203	0.3883036607
204	0.387972156
205	0.3874663566
206	0.3869751813
207	0.3866165821
208	0.3863750589
209	0.3860496527
210	0.3856551378
211	0.3851703354
212	0.3846865133
213	0.3842605174
214	0.3838935323
215	0.3832535549
216	0.3828814296
217	0.3823920889
218	0.382120701
219	0.3818338328
220	0.3814972807
221	0.3811989656
222	0.3808431334
223	0.3803954174
224	0.3802085961
225	0.3799167953
226	0.3795091635
227	0.3791587332
228	0.378850373
229	0.3781809922
230	0.377671441
231	0.3770706281
232	0.3766158373
233	0.3761864317
234	0.3758962091
235	0.3755157223
236	0.3748887292
237	0.3747260686
238	0.374479669
239	0.3742362909
240	0.3738759063
241	0.3736035563
242	0.3732421281
243	0.3726931262
244	0.3721822452
245	0.3715890364
246	0.3711816989
247	0.3707974903
248	0.3704853825
249	0.3701574754
250	0.369859683
251	0.3694317952
252	0.36910077
253	0.3688152192
254	0.3686567062
255	0.3679204909
256	0.3676677625
257	0.3674278271
258	0.3670327319
259	0.3668427818
260	0.3665673931
261	0.3660563014
262	0.365581148
263	0.3652505429
264	0.3649952641
265	0.3645185848
266	0.3642657335
267	0.3640747388
268	0.363626747
269	0.3630646033
270	0.3626216361
271	0.3622991606
272	0.3620511079
273	0.3618595328
274	0.3613567018
275	0.3610389676
276	0.3608907332
277	0.3606371461
278	0.3603733244
279	0.3602444763
280	0.3597728871
281	0.359697767
282	0.359422548
283	0.3591543546
284	0.358913818
285	0.3586189632
286	0.3584120338
287	0.3583382737
288	0.3580008088
289	0.357753489
290	0.3574828444
291	0.357281787
292	0.3570567405
293	0.3567378489
294	0.3564078848
295	0.3561097815
296	0.3556800784
297	0.3550034962
298	0.3548610132
299	0.354393526
300	0.3541280897
301	0.353725801
302	0.3534093925
303	0.3530389864
304	0.3527017326
305	0.3525361848
306	0.3521359336
307	0.3516622178
308	0.3513775152
309	0.3510601008
310	0.3507382245
311	0.3504596231
312	0.3500875705
313	0.3497505959
314	0.3495842839
315	0.3492326171
316	0.3488909058
317	0.3486226348
318	0.3483160608
319	0.3478974727
320	0.3475561897
321	0.3471684385
322	0.3467034713
323	0.3464626036
324	0.3461374863
325	0.3460023326
326	0.3457444423
327	0.3454287877
328	0.3452019562
329	0.3446908404
330	0.3445008186
331	0.3440331757
332	0.3437580063
333	0.3435534796
334	0.343312443
335	0.3431094493
336	0.3426790883
337	0.3423821931
338	0.3422087557
339	0.3419629782
340	0.341755002
341	0.3412860932
342	0.3409809998
343	0.3404654256
344	0.3403196577
345	0.3400906054
346	0.3399188866
347	0.3396342461
348	0.3393434074
349	0.3391151728
350	0.3389397381
351	0.3385380022
352	0.338247619
353	0.3381712855
354	0.3377917786
355	0.3374506289
356	0.3369800045
357	0.3367233333
358	0.3365289604
359	0.3360657102
360	0.3359168189
361	0.3358638658
362	0.3356922511
363	0.3355663335
364	0.3355154151
365	0.3352514282
366	0.335123582
367	0.3347641389
368	0.3345823077
369	0.334277533
370	0.3339977279
371	0.3339430076
372	0.3337252842
373	0.3335518154
374	0.3330075629
375	0.3328011915
376	0.3324262402
377	0.3322141586
378	0.33207782
379	0.331904756
380	0.3316116837
381	0.3314969184
382	0.3314306008
383	0.3310533152
384	0.3306153429
385	0.3304825379
386	0.3300433738
387	0.3299904042
388	0.3298301244
389	0.3295785969
390	0.3292020666
391	0.3291106226
392	0.328695054
393	0.3283002693
394	0.3280677695
395	0.3278988251
396	0.327679432
397	0.3274350841
398	0.3273223557
399	0.3271108856
400	0.3269852867
401	0.3267779436
402	0.3264084385
403	0.3262483843
404	0.3260483137
405	0.3259475654
406	0.3257816418
407	0.325627387
408	0.3254095405
409	0.325275801
410	0.3250486833
411	0.3249841946
412	0.3248713782
413	0.3246172748
414	0.3243883354
415	0.32421537
416	0.3241095089
417	0.3239423518
418	0.3237574493
419	0.323543541
420	0.3232953477
421	0.3232469032
422	0.3231089741
423	0.3228597286
424	0.3227680849
425	0.3224460326
426	0.3222384623
427	0.3218574491
428	0.3215993941
429	0.3215492625
430	0.3214577042
431	0.3211606819
432	0.3209099116
433	0.3206828777
434	0.3203011969
435	0.3201356852
436	0.3198134294
437	0.3195348693
438	0.3194549934
439	0.3190034709
440	0.3188689616
441	0.3186463594
442	0.3182476816
443	0.3181488592
444	0.3178938316
445	0.31764509
446	0.3173524222
447	0.3172245545
448	0.3170820823
449	0.3169016741
450	0.3166687307
451	0.3164478584
452	0.3161173947
453	0.3158976133
454	0.3156376912
455	0.3154101296
456	0.3152499861
457	0.3150625652
458	0.3148957218
459	0.3147334871
460	0.3145293894
461	0.3142666431
462	0.3141627276
463	0.313964368
464	0.3137012441
465	0.3133088047
466	0.3130767957
467	0.3129618204
468	0.3127900925
469	0.3124837687
470	0.3123113126
471	0.3120577585
472	0.3119350722
