Model,MSE,MAE,RMSE,R2
LSTM,0.01754368956005989,0.1026765189295977,0.132452593632816,0.4224011995226251
BLSTM,0.00988525747827222,0.07602011894538933,0.0994246321505502,0.6745432115454884
GRU,0.02002860771251482,0.11632192077400083,0.14152246363215565,0.34058911893211996
SimpleRNN,0.020381621649111593,0.12324921464988332,0.14276421697719494,0.32896668195088796
CNN-LSTM,0.010176588431671713,0.08040449009346129,0.10087907826537529,0.6649515912281426
