Model,MSE,MAE,RMSE,R2
LSTM,0.02301110709840834,0.1313396936013226,0.15169412348014125,-0.023974945377237322
GRU,0.013689449353979647,0.08935885739304504,0.11700192030039357,0.39083099763351425
SimpleRNN,0.02835006757144261,0.13787772884522476,0.16837478306279302,-0.2615542037487151
CNN-LSTM,0.008904071880597508,0.07867837759717743,0.09436138977673818,0.6037762773178139
