Actual,LSTM_Predicted,GRU_Predicted,SRNN_Predicted,CNN_Predicted
0.4386530014641289,0.64570373,0.48249418,0.59647214,0.54166603
0.4341630063445583,0.6457021,0.48251393,0.59645283,0.54091835
0.441874084919473,0.6456934,0.47980103,0.5964226,0.5404248
0.43914104441190827,0.64568704,0.48035032,0.5964061,0.540205
0.4337725719863348,0.6456797,0.47907716,0.5963923,0.5391777
0.43474865788189365,0.6456628,0.47806543,0.59637034,0.53787017
0.441776476329917,0.64564824,0.4786831,0.5963602,0.53783953
0.44441190824792587,0.64565253,0.48017767,0.5963651,0.53847444
0.43796974133723765,0.64566135,0.4808101,0.5963778,0.5394087
0.43308931185944366,0.64566356,0.47955605,0.5963791,0.5395671
0.43640800390434364,0.6456617,0.47868145,0.5963838,0.5389036
0.4246949731576378,0.64565027,0.4778428,0.5963752,0.5363922
0.42059541239629095,0.6456305,0.47450575,0.5963362,0.53515816
0.45993167398731083,0.64559233,0.4700995,0.59629023,0.5332255
0.4689116642264519,0.6456367,0.48174948,0.5963731,0.5302823
0.4713518789653489,0.64573336,0.48835203,0.5965079,0.52818
0.4660810151293314,0.6458078,0.49152794,0.5965724,0.53670037
0.47681795998047827,0.64585394,0.49317995,0.59661186,0.5439595
0.4642264519277697,0.64591277,0.49635065,0.5966457,0.5484508
0.4669594924353343,0.645955,0.49478248,0.5966686,0.5495428
0.48101512933138113,0.64598656,0.4949945,0.596677,0.5498599
0.49184968277208396,0.6460364,0.50028455,0.5967245,0.54933774
0.49350902879453395,0.6461094,0.50503916,0.59678805,0.5526779
0.49438750610053683,0.6461797,0.50741297,0.5968418,0.55717504
0.49829184968277207,0.64623904,0.5103226,0.59688544,0.5606947
0.48062469497315763,0.64628625,0.5112144,0.59691143,0.56379205
0.4857003416300635,0.6463076,0.5082605,0.59689903,0.5651622
0.47037579306979016,0.64630747,0.50924706,0.5968941,0.56640804
0.47320644216691066,0.6463082,0.50564504,0.596859,0.5664662
0.47974621766715475,0.6462861,0.5033169,0.5968228,0.56494516
0.4872620790629576,0.6462807,0.5063052,0.5968194,0.5638165
0.48501708150317224,0.6463002,0.50800693,0.59683424,0.5631664
0.4944851146900927,0.6463115,0.50692534,0.5968336,0.56543833
0.5052220595412397,0.6463275,0.51136756,0.59685993,0.5668524
0.5000488042947779,0.646378,0.51606834,0.59691656,0.56878734
0.5142020497803806,0.6464206,0.5155597,0.5969491,0.5710436
0.5134211810639336,0.64646345,0.52003956,0.59699035,0.5730659
0.517227916056613,0.64651,0.5210587,0.5970305,0.5736269
0.51634943875061,0.6465459,0.52333736,0.5970601,0.5759213
0.5179111761835041,0.64658856,0.5257008,0.59709305,0.5775285
0.5117618350414836,0.6466223,0.5259007,0.59711033,0.58051944
0.512249877989263,0.64663196,0.5253171,0.5971038,0.58195186
0.5101024890190337,0.6466421,0.5257542,0.59709716,0.583323
0.5137140068326013,0.64665097,0.5247019,0.5970878,0.58381855
0.5202537823328452,0.64666,0.5263679,0.5970919,0.5837574
0.5109809663250366,0.6466855,0.52800286,0.5971106,0.58386016
0.5068814055636897,0.64670014,0.5257704,0.59711593,0.58317316
0.5035627135187897,0.64669204,0.52512896,0.5970996,0.5829577
0.4938018545632016,0.6466773,0.5237466,0.597082,0.58248353
0.4985846754514397,0.64665747,0.51947415,0.59703845,0.582021
0.5082479258174719,0.6466298,0.5203996,0.59702104,0.5801865
0.5012201073694486,0.646633,0.5218494,0.59702086,0.57915306
0.4929233772571987,0.6466335,0.52074766,0.5970232,0.57913566
0.49019033674963397,0.6466093,0.51727045,0.5969933,0.5790806
0.5001464128843338,0.6465786,0.51562,0.5969611,0.57804596
0.4977061981454368,0.6465636,0.5179012,0.59695894,0.57621455
