Actual,LSTM_Predicted,GRU_Predicted,SRNN_Predicted,CNN_Predicted,BLSTM
0.5405806354690904,0.51539594,0.48933724,0.47208652,0.51337254,0.53902984
0.5399421617967399,0.5161945,0.49056068,0.47203135,0.51451576,0.5393285
0.5414632314279275,0.5165134,0.49008182,0.4733994,0.51531833,0.53897125
0.5157740554345377,0.5163598,0.48988912,0.47194475,0.5154226,0.5381104
0.5252384886952602,0.5134109,0.48118713,0.46278605,0.51515245,0.5289972
0.5365620070607677,0.51076525,0.48356512,0.46001947,0.51024556,0.5284499
0.5334447532487042,0.5095108,0.4850355,0.4654567,0.50882256,0.53120136
0.5359235333884173,0.50948435,0.48637602,0.46930197,0.509135,0.5336122
0.5264778787651169,0.51015115,0.48632115,0.47234035,0.50973135,0.53483933
0.5233606249530534,0.51053596,0.48557007,0.47250977,0.5098503,0.5342305
0.5188913092466011,0.5102201,0.48310393,0.4674367,0.50909775,0.53206056
0.5058401562382634,0.5092177,0.48135665,0.46053362,0.5074237,0.52968544
0.5197739052054383,0.5068478,0.47631148,0.4570251,0.50581264,0.5241627
0.5112484038158192,0.50468135,0.4777526,0.45717523,0.50180656,0.5233933
0.5152858108615639,0.5025531,0.4745862,0.4564765,0.49991265,0.52105725
0.5128070307218507,0.5013224,0.47620344,0.458888,0.4980061,0.5219262
0.5027980169758882,0.50059026,0.47514692,0.457263,0.49723697,0.5219547
0.5119995493127019,0.49960178,0.47237846,0.45488358,0.49557528,0.51979446
0.48570945692180567,0.4987408,0.47314736,0.45341146,0.49459213,0.5198293
0.4879816720498761,0.49669796,0.46666077,0.44899046,0.49291185,0.5147705
0.49066701720123196,0.49391013,0.464057,0.44366777,0.48906147,0.51094943
0.48666716743033134,0.4915617,0.46402612,0.44132575,0.48647416,0.510707
0.47382257943363626,0.48943508,0.462252,0.44478357,0.4832585,0.50982505
0.47628258093592724,0.48688638,0.4574944,0.43786708,0.48090404,0.50631446
0.46347555021407644,0.48441577,0.45603,0.43703565,0.47745878,0.50488967
0.4621986028693758,0.48137486,0.4515451,0.43410537,0.47485864,0.5009544
0.46244272515586266,0.47812504,0.4487848,0.42796272,0.46993288,0.49749497
0.4451476000901375,0.4752432,0.44734487,0.42926595,0.46663558,0.4957275
0.4498610380830767,0.47169358,0.4413192,0.42476904,0.4628251,0.49019206
0.4610906632614738,0.46833104,0.43947068,0.42144156,0.45795575,0.48725033
