iter	Logloss
0	0.6877770147
1	0.6827865711
2	0.6776570132
3	0.6725206753
4	0.6672417786
5	0.6623342686
6	0.6577590493
7	0.6523963139
8	0.6479565591
9	0.6444820869
10	0.6401665389
11	0.6358599704
12	0.6310965128
13	0.6267146962
14	0.6230204173
15	0.6189051663
16	0.6149109438
17	0.6107500699
18	0.6066240355
19	0.6029205412
20	0.5988022904
21	0.5949294806
22	0.5915394163
23	0.5876882657
24	0.5844051861
25	0.5804872751
26	0.5776000245
27	0.5740922411
28	0.5705341963
29	0.5674491538
30	0.5639684064
31	0.5607413047
32	0.5575094728
33	0.5545900267
34	0.5513146994
35	0.5487618968
36	0.5460672008
37	0.5435321402
38	0.5423212941
39	0.5394267197
40	0.5369268784
41	0.5339112419
42	0.5325282228
43	0.5302384948
44	0.5273527247
45	0.5246760413
46	0.5223285648
47	0.5198869452
48	0.5174176123
49	0.5146777645
50	0.5122873489
51	0.5099533994
52	0.5081648667
53	0.5055815442
54	0.5034503839
55	0.5012727651
56	0.4992497073
57	0.4972615768
58	0.4949910534
59	0.4925881735
60	0.4906459873
61	0.4886642698
62	0.4868809039
63	0.4848433682
64	0.4827438801
65	0.4807330614
66	0.4792265576
67	0.4772532843
68	0.47523589
69	0.4731891817
70	0.4711476444
71	0.4693408584
72	0.4678633185
73	0.4661491617
74	0.4643823133
75	0.4631399307
76	0.4617910142
77	0.4601884579
78	0.4583136984
79	0.4568315233
80	0.4553625825
81	0.4540877298
82	0.4524901386
83	0.4508939544
84	0.4493342361
85	0.447814162
86	0.4465327811
87	0.4450368554
88	0.4435532543
89	0.442183369
90	0.4408830261
91	0.4393925968
92	0.4384601049
93	0.4370948177
94	0.4356931111
95	0.4343058986
96	0.4332943052
97	0.4319855022
98	0.4311086743
99	0.4299551972
100	0.4288748314
101	0.4279039588
102	0.4265802108
103	0.4256816404
104	0.4243715873
105	0.4233369133
106	0.4226096616
107	0.4216432598
108	0.4206939121
109	0.4198476185
110	0.418937674
111	0.4181842882
112	0.4175409464
113	0.4167526133
114	0.4158223634
115	0.4147508282
116	0.4138815498
117	0.4129588553
118	0.4120003008
119	0.4112012649
120	0.410601081
121	0.4094521805
122	0.4084783539
123	0.407383097
124	0.4064872935
125	0.4056866144
126	0.4046925873
127	0.403717249
128	0.4028881514
129	0.4022722038
130	0.4013010635
131	0.4008965815
132	0.400352574
133	0.3996054342
134	0.3991615768
135	0.3986524951
136	0.3975973688
137	0.3971403941
138	0.3964147374
139	0.3959255912
140	0.3952654808
141	0.3945429066
142	0.3939230915
143	0.392903531
144	0.3921591256
145	0.391226766
146	0.3907108369
147	0.3900625457
148	0.389517531
149	0.3885051492
150	0.3878453995
151	0.3872343025
152	0.386862865
153	0.3862352529
154	0.3857809328
155	0.3853732361
156	0.3848058662
157	0.383885866
158	0.3835004177
159	0.3827041168
160	0.381923354
161	0.381261234
162	0.3807144281
163	0.3799547301
164	0.3793884124
165	0.3790945181
166	0.3785648272
167	0.3780411678
168	0.3776724775
169	0.3771126816
170	0.3764658872
171	0.3760356708
172	0.3754112161
173	0.3747241453
174	0.3742623861
175	0.3738164142
176	0.373215093
177	0.3727167779
178	0.3723937942
179	0.3716770545
180	0.3708788395
181	0.3704635703
182	0.3699689209
183	0.3695581793
184	0.3690890807
185	0.3683011792
186	0.3676795514
187	0.367148705
188	0.3666013472
189	0.3661258525
190	0.3657456193
191	0.3652260957
192	0.3647790263
193	0.3642554894
194	0.3636377697
195	0.363380936
196	0.3629329887
197	0.3623551216
198	0.3618709581
199	0.3615187487
200	0.3612001027
201	0.3605106285
202	0.3601370182
203	0.359910901
204	0.3592501706
205	0.3588211239
206	0.358294435
207	0.3579086333
208	0.3574096161
209	0.3568891641
210	0.3564691411
211	0.3559316536
212	0.3553463523
213	0.3547333577
214	0.3544095323
215	0.3542158771
216	0.3536786211
217	0.3534046801
218	0.3531413665
219	0.353053373
220	0.352673589
221	0.35215389
222	0.3517555512
223	0.3512844327
224	0.350870215
225	0.3502300387
226	0.3497769737
227	0.34933409
228	0.3488708674
229	0.348382355
230	0.3479923368
231	0.3474849849
232	0.3469970501
233	0.3465372834
234	0.3463401311
235	0.3457487723
236	0.3454711577
237	0.3453902134
238	0.3450784051
239	0.3447794606
240	0.3443428103
241	0.3439409171
242	0.3434244243
243	0.3429069703
244	0.342475493
245	0.3421247441
246	0.3417443477
247	0.3414394942
248	0.3411136065
249	0.3408208827
250	0.3404872161
251	0.3401327198
252	0.3396611763
253	0.3390794181
254	0.338418828
255	0.3379868261
256	0.3375994404
257	0.3372813783
258	0.3369957906
259	0.3366622613
260	0.3365168056
261	0.3360438141
262	0.3356069356
263	0.3351552806
264	0.3349081348
265	0.3345634167
266	0.3342023375
267	0.3338157587
268	0.3332077911
269	0.3327923357
270	0.3325439795
271	0.3321846628
272	0.3320027636
273	0.3318335199
274	0.3316289779
275	0.3313797548
276	0.3310393989
277	0.3307859341
278	0.3305327434
279	0.3302832996
280	0.3300099687
